customer_id,segment,risk_tier,avg_fhs,green_days
NW000140,sme_distressed,Medium,35.5,129
NW000141,sme_distressed,High,31.0,113
NW000142,stretched_salaried,High,33.1,121
NW000143,freelancer,Medium,36.2,132
NW000144,stretched_salaried,High,31.6,115
NW000145,stretched_salaried,High,23.0,84
NW000146,stable_salaried,Low,71.4,261
NW000147,young_professional,Medium,56.6,207
NW000148,freelancer,Medium,35.9,131
NW000149,stable_salaried,Low,74.0,270
NW000150,stretched_salaried,High,30.0,109
NW000151,sme_distressed,Medium,38.8,142
NW000152,stretched_salaried,High,24.1,88
NW000153,stable_salaried,Low,74.2,271
NW000154,freelancer,Medium,60.0,219
NW000155,sme_distressed,High,22.3,81
NW000156,stretched_salaried,Medium,45.7,167
NW000157,young_professional,Medium,54.8,200
NW000158,near_retiree,Low,69.4,254
NW000159,stretched_salaried,Medium,51.8,189
NW000160,near_retiree,Low,78.4,286
NW000161,gig_worker,Medium,47.6,174
NW000162,young_professional,Medium,50.3,184
NW000163,young_professional,Low,69.2,253
NW000164,freelancer,Medium,57.1,209
NW000165,stable_salaried,Low,65.5,239
NW000166,sme_seasonal,High,30.2,110
NW000167,stretched_salaried,Medium,41.2,150
NW000168,stable_salaried,Low,65.2,238
NW000169,stable_salaried,Low,77.9,284
NW000170,young_professional,Medium,56.3,205
NW000171,young_professional,Low,76.0,278
NW000172,stable_salaried,Low,80.8,295
NW000173,freelancer,High,18.5,67
NW000174,stretched_salaried,High,31.2,114
NW000175,young_professional,Low,74.6,273
NW000176,stable_salaried,Low,79.3,290
NW000177,young_professional,Medium,51.8,189
NW000178,gig_worker,High,9.7,35
NW000179,sme_distressed,High,17.3,63
NW000180,stable_salaried,Low,69.7,255
NW000181,stretched_salaried,High,24.0,87
NW000182,stable_salaried,Low,70.0,256
NW000183,sme_distressed,High,31.4,114
NW000184,sme_seasonal,Low,77.8,284
NW000185,stretched_salaried,Medium,41.9,153
NW000186,young_professional,Medium,38.2,139
NW000187,sme_seasonal,Low,67.1,245
NW000188,freelancer,Medium,56.3,205
NW000189,freelancer,Medium,44.4,162
NW000190,stretched_salaried,Medium,37.6,137
NW000191,stable_salaried,Low,71.9,263
NW000192,sme_seasonal,High,31.3,114
NW000193,sme_distressed,High,20.8,76
NW000194,young_professional,Medium,59.9,219
NW000195,stretched_salaried,Medium,58.5,214
NW000196,stretched_salaried,Medium,40.4,147
NW000197,near_retiree,Low,64.5,236
NW000198,sme_seasonal,High,34.2,125
NW000199,sme_seasonal,Low,62.5,228
NW000200,near_retiree,Low,75.1,274
NW000201,young_professional,Low,64.9,237
NW000202,stable_salaried,Medium,56.5,206
NW000203,stable_salaried,Low,86.4,316
NW000204,sme_seasonal,Medium,52.0,190
NW000205,young_professional,Medium,54.8,200
NW000206,stable_salaried,Low,80.1,293
NW000207,stable_salaried,Low,76.0,278
NW000208,young_professional,Medium,48.5,177
NW000209,stable_salaried,Low,76.6,280
NW000210,stable_salaried,Low,78.5,287
NW000211,freelancer,Medium,50.9,186
NW000212,young_professional,Medium,42.0,153
NW000213,young_professional,Medium,53.0,194
NW000214,stretched_salaried,High,33.5,122
NW000215,near_retiree,Low,70.9,259
NW000216,stretched_salaried,Medium,47.7,174
NW000217,stretched_salaried,Medium,40.6,148
NW000218,near_retiree,Low,83.4,305
NW000219,young_professional,Low,66.7,244
NW000220,sme_seasonal,High,32.9,120
NW000221,young_professional,Medium,55.0,201
NW000222,freelancer,High,32.8,120
NW000223,stable_salaried,Low,72.8,266
NW000224,gig_worker,High,27.3,99
NW000225,stretched_salaried,High,33.6,122
NW000226,stretched_salaried,Medium,54.6,199
NW000227,sme_distressed,High,18.7,68
NW000228,gig_worker,Medium,59.2,216
NW000229,sme_seasonal,Medium,38.9,142
NW000230,young_professional,Medium,58.2,212
NW000231,sme_seasonal,Low,63.4,232
NW000232,freelancer,Medium,59.4,217
NW000233,young_professional,Medium,56.8,207
NW000234,freelancer,Medium,50.8,185
NW000235,stable_salaried,Low,71.4,261
NW000236,near_retiree,Medium,56.6,207
NW000237,stretched_salaried,High,12.8,47
NW000238,stable_salaried,Low,64.0,234
NW000239,young_professional,Medium,52.2,191
NW000240,stable_salaried,Low,77.3,282
NW000241,sme_distressed,High,19.1,69
NW000242,sme_distressed,High,16.7,61
NW000243,sme_distressed,Medium,36.4,133
NW000244,gig_worker,Medium,44.4,162
NW000245,stable_salaried,Low,80.4,294
NW000246,sme_distressed,High,18.2,66
NW000247,gig_worker,Medium,37.9,138
NW000248,sme_distressed,High,30.4,111
NW000249,sme_distressed,Medium,35.5,129
NW000250,sme_seasonal,Medium,48.4,177
NW000251,stretched_salaried,High,34.4,125
NW000252,gig_worker,Medium,38.6,141
NW000253,sme_seasonal,Medium,42.3,154
NW000254,stretched_salaried,High,22.3,81
NW000255,stable_salaried,Low,82.8,303
NW000256,freelancer,Medium,58.2,213
NW000257,sme_distressed,Medium,48.7,178
NW000258,young_professional,High,32.6,119
NW000259,young_professional,Low,61.9,226
NW000260,stable_salaried,Low,76.1,278
NW000261,young_professional,Medium,58.7,214
NW000262,sme_distressed,High,31.5,115
NW000263,stable_salaried,Low,79.2,289
NW000264,freelancer,Low,63.6,232
NW000265,sme_seasonal,Medium,56.4,206
NW000266,near_retiree,Low,82.7,302
NW000267,young_professional,Low,65.9,241
NW000268,near_retiree,Low,68.3,249
NW000269,gig_worker,Medium,49.1,179
NW000270,stretched_salaried,Medium,36.7,134
NW000271,sme_seasonal,Low,65.8,240
NW000272,sme_seasonal,Medium,38.7,141
NW000273,sme_seasonal,Low,63.4,232
NW000274,sme_distressed,High,25.8,94
NW000275,freelancer,Medium,54.4,198
NW000276,freelancer,Medium,55.6,203
NW000277,sme_seasonal,Medium,56.9,208
NW000278,young_professional,Medium,44.3,162
NW000279,near_retiree,Low,77.9,284
NW000280,sme_seasonal,Medium,48.9,178
NW000281,sme_seasonal,Medium,49.9,182
NW000282,stretched_salaried,High,23.1,84
NW000283,gig_worker,High,33.4,122
NW000284,stable_salaried,Low,67.0,245
NW000285,young_professional,Medium,46.5,170
NW000286,stable_salaried,Low,74.4,272
NW000287,gig_worker,Medium,38.4,140
NW000288,freelancer,Medium,52.3,191
NW000289,stretched_salaried,Medium,37.9,138
NW000290,young_professional,Medium,53.6,196
NW000291,stable_salaried,Low,88.2,322
NW000292,stable_salaried,Low,83.6,306
NW000293,sme_seasonal,Medium,39.5,144
NW000294,gig_worker,Medium,42.4,155
NW000295,stable_salaried,Low,80.8,295
NW000296,freelancer,High,30.5,111
NW000297,near_retiree,Low,67.8,248
NW000298,stretched_salaried,Medium,41.2,150
NW000299,young_professional,Medium,58.1,212
NW000300,stable_salaried,Low,77.3,282
NW000301,stable_salaried,Low,86.0,314
NW000302,freelancer,Medium,40.6,148
NW000303,freelancer,High,27.5,100
NW000304,young_professional,Medium,54.4,198
NW000305,near_retiree,Low,81.8,299
NW000306,sme_distressed,High,32.3,118
NW000307,freelancer,Medium,37.2,136
NW000308,stretched_salaried,Medium,35.4,129
NW000309,sme_seasonal,Medium,47.6,174
NW000310,stretched_salaried,Low,73.3,268
NW000311,gig_worker,Medium,43.5,159
NW000312,stable_salaried,Low,60.7,222
NW000313,stable_salaried,Low,86.7,317
NW000314,sme_distressed,High,23.1,84
NW000315,sme_seasonal,Medium,49.6,181
NW000316,young_professional,Low,65.7,240
NW000317,gig_worker,Medium,59.5,217
NW000318,stable_salaried,Low,85.4,312
NW000319,stable_salaried,Low,73.4,268
NW000320,stretched_salaried,Low,74.8,273
NW000321,freelancer,Low,61.0,223
NW000322,near_retiree,Low,66.6,243
NW000323,young_professional,Medium,43.4,158
NW000324,stretched_salaried,Medium,37.9,138
NW000325,sme_distressed,High,26.5,96
NW000326,near_retiree,Low,64.6,236
NW000327,freelancer,Low,69.1,252
NW000328,young_professional,Medium,56.2,205
NW000329,gig_worker,Medium,43.6,159
NW000330,stretched_salaried,High,31.6,115
NW000331,gig_worker,Medium,50.9,186
NW000332,near_retiree,Low,68.4,250
NW000333,stable_salaried,Low,71.1,260
NW000334,stable_salaried,Low,74.4,272
NW000335,stable_salaried,Low,65.5,239
NW000336,stable_salaried,Low,76.6,280
NW000337,sme_seasonal,High,34.8,127
NW000338,near_retiree,Low,90.4,330
NW000339,freelancer,Medium,48.1,176
NW000340,stable_salaried,Low,76.5,279
NW000341,freelancer,Medium,44.5,162
NW000342,freelancer,Medium,58.7,214
NW000343,stable_salaried,Low,76.2,279
NW000344,gig_worker,Medium,40.4,147
NW000345,gig_worker,Medium,59.0,216
NW000346,young_professional,Medium,48.5,177
NW000347,young_professional,Medium,48.6,177
NW000348,stable_salaried,Low,65.3,238
NW000349,gig_worker,Medium,43.2,158
NW000350,young_professional,Low,75.7,277
NW000351,freelancer,High,29.7,108
NW000352,sme_seasonal,Medium,46.6,170
NW000353,young_professional,Medium,47.1,172
NW000354,stable_salaried,Low,79.5,290
NW000355,stable_salaried,Low,81.1,296
NW000356,young_professional,Medium,44.9,164
NW000357,stable_salaried,Low,66.3,242
NW000358,young_professional,Low,61.4,224
NW000359,sme_distressed,High,14.5,53
NW000360,young_professional,Low,64.6,236
NW000361,gig_worker,High,26.9,98
NW000362,young_professional,Medium,50.3,184
NW000363,gig_worker,Medium,38.1,139
NW000364,freelancer,High,4.5,16
NW000365,sme_distressed,High,27.7,101
NW000366,gig_worker,Medium,47.8,175
NW000367,sme_distressed,High,18.0,65
NW000368,sme_distressed,Medium,43.0,157
NW000369,stable_salaried,Medium,53.3,194
NW000370,stable_salaried,Low,71.2,260
NW000371,stable_salaried,Low,77.6,283
NW000372,stable_salaried,Low,75.1,274
NW000373,stable_salaried,Low,61.0,223
NW000374,young_professional,Medium,54.3,198
NW000375,stable_salaried,Low,68.2,249
NW000376,stretched_salaried,High,29.2,106
NW000377,sme_seasonal,Medium,56.3,205
NW000378,stable_salaried,Low,64.9,237
NW000379,sme_seasonal,Low,60.2,220
NW000380,stretched_salaried,High,12.7,46
NW000381,stable_salaried,Low,83.5,305
NW000382,young_professional,Medium,55.3,202
NW000383,young_professional,Low,67.8,248
NW000384,sme_seasonal,Medium,55.5,203
NW000385,near_retiree,Low,74.3,272
NW000386,sme_seasonal,Medium,37.2,136
NW000387,stretched_salaried,High,25.1,91
NW000388,stable_salaried,Low,82.2,300
NW000389,near_retiree,Low,71.3,260
NW000390,sme_seasonal,Low,61.1,223
NW000391,sme_distressed,High,30.0,109
NW000392,gig_worker,High,31.9,116
NW000393,gig_worker,Medium,38.4,140
NW000394,near_retiree,Low,87.8,321
NW000395,stretched_salaried,Medium,37.5,137
NW000396,sme_distressed,High,22.3,81
NW000397,sme_seasonal,Medium,41.3,151
NW000398,gig_worker,High,21.1,77
NW000399,near_retiree,Medium,42.0,153
NW000400,near_retiree,Low,70.6,258
NW000401,stable_salaried,Low,98.8,361
NW000402,sme_distressed,High,27.3,99
NW000403,freelancer,High,26.4,96
NW000404,sme_seasonal,Low,63.7,233
NW000405,stretched_salaried,High,15.2,55
NW000406,sme_seasonal,Medium,40.7,148
NW000407,gig_worker,High,25.1,91
NW000408,stable_salaried,Low,73.2,267
NW000409,sme_distressed,High,33.3,121
NW000410,stable_salaried,Low,73.8,269
NW000411,stretched_salaried,Medium,55.7,203
NW000412,sme_distressed,Medium,45.1,165
NW000413,sme_distressed,High,22.2,81
NW000414,young_professional,Medium,44.7,163
NW000415,young_professional,Medium,49.1,179
NW000416,gig_worker,High,32.4,118
NW000417,stretched_salaried,Medium,35.1,128
NW000418,stretched_salaried,High,16.8,61
NW000419,young_professional,Medium,51.5,188
NW000420,near_retiree,Low,74.0,270
NW000421,sme_seasonal,Medium,52.1,190
NW000422,sme_seasonal,Low,60.9,222
NW000423,stable_salaried,Low,81.3,297
NW000424,freelancer,Medium,54.0,197
NW000425,stable_salaried,Low,76.9,281
NW000426,freelancer,High,10.3,37
NW000427,gig_worker,High,24.6,90
NW000428,sme_seasonal,Medium,43.0,157
NW000429,gig_worker,Medium,55.5,203
NW000430,stable_salaried,Low,82.8,302
NW000431,stable_salaried,Low,78.8,288
NW000432,near_retiree,Low,63.5,232
NW000433,young_professional,Medium,58.7,214
NW000434,stable_salaried,Low,69.9,255
NW000435,stable_salaried,Low,72.9,266
NW000436,near_retiree,Low,64.3,235
NW000437,stable_salaried,Low,70.4,257
NW000438,sme_seasonal,High,30.8,112
NW000439,near_retiree,Low,60.9,223
NW000440,stable_salaried,Low,67.4,246
NW000441,stable_salaried,Low,92.9,340
NW000442,sme_distressed,High,12.3,44
NW000443,gig_worker,Medium,56.5,206
NW000444,gig_worker,High,28.2,103
NW000445,sme_seasonal,High,32.2,117
NW000446,sme_distressed,Medium,44.7,163
NW000447,sme_distressed,High,31.2,114
NW000448,near_retiree,Low,81.8,299
NW000449,gig_worker,Medium,59.8,218
NW000450,stable_salaried,Low,72.2,264
NW000451,near_retiree,Low,66.9,244
NW000452,freelancer,High,29.2,106
NW000453,gig_worker,High,25.9,94
NW000454,sme_distressed,High,33.8,123
NW000455,stable_salaried,Low,71.6,261
NW000456,freelancer,High,24.8,90
NW000457,stable_salaried,Low,73.7,269
NW000458,gig_worker,Medium,56.6,207
NW000459,stable_salaried,Low,80.9,296
NW000460,stable_salaried,Low,75.7,276
NW000461,stable_salaried,Low,73.2,267
NW000462,young_professional,Low,71.6,261
NW000463,near_retiree,Low,81.0,296
NW000464,young_professional,Low,72.7,266
NW000465,sme_distressed,High,25.9,94
NW000466,gig_worker,High,24.6,90
NW000467,stretched_salaried,High,34.5,126
NW000468,sme_seasonal,Medium,35.6,130
NW000469,stretched_salaried,Medium,45.8,167
NW000470,sme_distressed,High,20.3,74
NW000471,stable_salaried,Low,74.0,270
NW000472,sme_distressed,High,21.8,79
NW000473,stable_salaried,Low,74.0,270
NW000474,sme_seasonal,Medium,53.6,196
NW000475,freelancer,Low,61.8,226
NW000476,sme_distressed,High,33.4,122
NW000477,stable_salaried,Low,71.0,259
NW000478,freelancer,High,13.1,47
NW000479,sme_distressed,Medium,36.5,133
NW000480,freelancer,Low,92.5,338
NW000481,young_professional,Medium,59.4,217
NW000482,young_professional,Low,61.2,224
NW000483,gig_worker,Low,68.8,251
NW000484,young_professional,Medium,49.4,180
NW000485,young_professional,Medium,48.9,178
NW000486,sme_distressed,High,15.9,58
NW000487,stable_salaried,Low,89.3,326
NW000488,stretched_salaried,High,19.3,70
NW000489,sme_distressed,High,19.7,72
NW000490,sme_seasonal,Medium,52.9,193
NW000491,gig_worker,Medium,55.4,202
NW000492,young_professional,High,33.7,123
NW000493,stretched_salaried,High,26.5,96
NW000494,stable_salaried,Low,72.9,266
NW000495,gig_worker,Medium,42.0,153
NW000496,gig_worker,Medium,52.3,191
NW000497,young_professional,Medium,57.7,211
NW000498,stable_salaried,Low,68.4,250
NW000499,sme_distressed,High,33.0,120
NW000500,sme_distressed,High,28.0,102
NW000501,young_professional,Low,71.4,261
NW000502,freelancer,High,31.9,116
NW000503,stretched_salaried,High,24.6,90
NW000504,sme_seasonal,Medium,59.1,216
NW000505,young_professional,Low,67.3,246
NW000506,stable_salaried,Low,66.2,242
NW000507,sme_distressed,Medium,41.9,153
NW000508,sme_seasonal,Medium,57.7,211
NW000509,sme_distressed,High,26.2,95
NW000510,near_retiree,Low,88.3,323
NW000511,young_professional,Medium,47.8,174
NW000512,gig_worker,Low,69.3,253
NW000513,sme_distressed,Medium,44.6,163
NW000514,sme_seasonal,Medium,43.3,158
NW000515,stable_salaried,Low,65.4,239
NW000516,stable_salaried,Low,72.3,264
NW000517,gig_worker,Low,62.7,229
NW000518,sme_seasonal,Medium,39.1,142
NW000519,sme_distressed,Medium,40.1,146
NW000520,stable_salaried,Low,88.5,323
NW000521,young_professional,High,33.0,120
NW000522,gig_worker,Low,71.5,261
NW000523,sme_distressed,Medium,36.9,134
NW000524,sme_seasonal,Medium,54.7,200
NW000525,sme_seasonal,Medium,44.8,163
NW000526,gig_worker,Medium,36.7,134
NW000527,gig_worker,Medium,59.8,218
NW000528,stretched_salaried,Low,60.5,221
NW000529,stable_salaried,Low,68.9,252
NW000530,sme_seasonal,Medium,46.1,168
NW000531,sme_seasonal,Medium,56.0,204
NW000532,sme_distressed,Medium,35.2,128
NW000533,sme_distressed,High,33.3,122
NW000534,freelancer,Medium,47.7,174
NW000535,near_retiree,Low,60.6,221
NW000536,sme_distressed,Medium,38.4,140
NW000537,sme_seasonal,Medium,39.5,144
NW000538,stretched_salaried,Medium,40.4,147
NW000539,gig_worker,High,0.0,0
NW000540,stable_salaried,Low,78.8,288
NW000541,sme_distressed,High,22.5,82
NW000542,young_professional,Medium,46.0,168
NW000543,stretched_salaried,Medium,44.9,164
NW000544,young_professional,Medium,57.1,208
NW000545,young_professional,Low,78.2,286
NW000546,gig_worker,High,32.1,117
NW000547,stable_salaried,Low,87.7,321
NW000548,young_professional,Medium,59.5,217
NW000549,freelancer,Medium,48.8,178
NW000550,near_retiree,Low,61.4,224
NW000551,freelancer,Medium,50.8,185
NW000552,sme_seasonal,Medium,51.9,189
NW000553,freelancer,Low,79.4,290
NW000554,freelancer,Low,78.7,288
NW000555,sme_seasonal,Medium,45.4,166
NW000556,gig_worker,Medium,45.6,166
NW000557,stable_salaried,Low,70.9,259
NW000558,stable_salaried,Low,72.9,266
NW000559,near_retiree,Low,73.3,268
NW000560,young_professional,Low,61.0,223
NW000561,near_retiree,Low,65.7,240
NW000562,stretched_salaried,Medium,46.7,170
NW000563,stable_salaried,Low,72.3,264
NW000564,stable_salaried,Medium,56.6,207
NW000565,gig_worker,High,33.8,123
NW000566,young_professional,Medium,46.7,170
NW000567,gig_worker,Medium,35.6,130
NW000568,gig_worker,Medium,41.3,151
NW000569,sme_distressed,High,29.1,106
NW000570,stretched_salaried,Medium,51.4,187
NW000571,freelancer,High,28.3,103
NW000572,sme_seasonal,High,28.4,103
NW000573,gig_worker,Medium,50.3,184
NW000574,young_professional,High,27.3,100
NW000575,sme_seasonal,Medium,55.9,204
NW000576,sme_distressed,High,27.6,101
NW000577,stable_salaried,Low,84.3,308
NW000578,sme_distressed,High,23.0,84
NW000579,freelancer,High,32.5,118
NW000580,stretched_salaried,High,29.9,109
NW000581,gig_worker,High,31.8,116
NW000582,sme_distressed,High,29.9,109
NW000583,freelancer,Medium,36.6,134
NW000584,stretched_salaried,Medium,50.2,183
NW000585,young_professional,Low,75.0,274
NW000586,stretched_salaried,Low,64.1,234
NW000587,stable_salaried,Low,77.5,283
NW000588,stable_salaried,Low,70.2,256
NW000589,stable_salaried,Low,65.5,239
NW000590,stable_salaried,Low,76.7,280
NW000591,stable_salaried,Low,86.5,316
NW000592,young_professional,Low,77.4,283
NW000593,stable_salaried,Low,73.7,269
NW000594,stretched_salaried,High,31.6,115
NW000595,sme_seasonal,Low,62.1,227
NW000596,freelancer,Low,65.8,240
NW000597,young_professional,Medium,51.1,187
NW000598,stable_salaried,Low,83.0,303
NW000599,stable_salaried,Low,89.7,328
NW000600,stable_salaried,Low,66.4,242
NW000601,stable_salaried,Low,72.1,263
NW000602,stretched_salaried,Medium,53.7,196
NW000603,stable_salaried,Low,88.1,322
NW000604,stable_salaried,Low,79.9,292
NW000605,stable_salaried,Low,71.7,262
NW000606,gig_worker,Medium,51.2,187
NW000607,stretched_salaried,High,23.4,85
NW000608,gig_worker,High,24.2,88
NW000609,freelancer,High,26.2,95
NW000610,young_professional,Low,66.7,244
NW000611,stable_salaried,Low,82.0,300
NW000612,sme_seasonal,Low,64.9,237
NW000613,young_professional,Low,69.8,255
NW000614,stable_salaried,Low,83.2,304
NW000615,sme_seasonal,Medium,51.0,186
NW000616,sme_distressed,High,21.1,77
NW000617,stable_salaried,Low,83.7,306
NW000618,stretched_salaried,High,32.8,120
NW000619,sme_seasonal,Medium,46.3,169
NW000620,near_retiree,Low,74.2,271
NW000621,stable_salaried,Low,71.6,262
NW000622,stretched_salaried,Medium,58.5,213
NW000623,gig_worker,High,27.5,100
NW000624,freelancer,Medium,52.7,193
NW000625,young_professional,Medium,46.0,168
NW000626,gig_worker,High,14.5,53
NW000627,gig_worker,Medium,48.1,175
NW000628,near_retiree,Low,76.0,278
NW000629,stable_salaried,Low,75.1,274
NW000630,stretched_salaried,Medium,47.1,172
NW000631,near_retiree,Low,77.5,283
NW000632,sme_seasonal,Low,60.6,221
NW000633,freelancer,High,29.9,109
NW000634,freelancer,Medium,45.3,165
NW000635,stable_salaried,Low,83.4,305
NW000636,gig_worker,Low,63.9,234
NW000637,freelancer,Medium,55.3,202
NW000638,stretched_salaried,High,31.5,115
NW000639,stretched_salaried,High,16.9,61
NW000640,gig_worker,Medium,41.3,151
NW000641,stable_salaried,Low,73.8,270
NW000642,stretched_salaried,Medium,58.1,212
NW000643,stretched_salaried,Medium,45.1,165
NW000644,stretched_salaried,Medium,35.6,130
NW000645,stable_salaried,Low,78.3,286
NW000646,sme_seasonal,High,30.0,109
NW000647,young_professional,Medium,56.9,208
NW000648,young_professional,Medium,53.4,195
NW000649,sme_seasonal,Low,60.6,221
NW000650,freelancer,Medium,46.4,169
NW000651,stable_salaried,Low,73.3,268
NW000652,freelancer,Medium,49.9,182
NW000653,young_professional,Medium,57.5,210
NW000654,near_retiree,Low,70.0,256
NW000655,gig_worker,Low,60.8,222
NW000656,stable_salaried,Low,79.1,289
NW000657,stretched_salaried,Medium,36.2,132
NW000658,gig_worker,Medium,42.3,154
NW000659,young_professional,Medium,55.7,203
NW000660,young_professional,Medium,44.1,161
NW000661,gig_worker,Medium,50.1,183
NW000662,sme_distressed,High,24.9,91
NW000663,young_professional,Medium,41.9,153
NW000664,stretched_salaried,Medium,51.2,187
NW000665,stable_salaried,Low,85.4,312
NW000666,stable_salaried,Low,81.2,297
NW000667,stretched_salaried,Medium,45.6,166
NW000668,stable_salaried,Low,65.4,239
NW000669,stable_salaried,Low,78.5,287
NW000670,stretched_salaried,High,23.0,84
NW000671,stable_salaried,Low,61.7,225
NW000672,sme_seasonal,High,33.8,123
