date,segment,forecast_week,median_balance,median_naive,p25_balance,p75_balance,liquidity_exposure_pct,stress_exposure_pct,median_fhs,market_divergence
2026-08-26,gig_worker,2,2358.42,1972.63,1770.07,2946.77,31.1,41.1,34.4,385.78
2026-08-27,gig_worker,3,2514.73,2347.13,1926.38,3103.08,35.0,51.7,44.5,167.6
2026-08-28,gig_worker,3,2339.93,2396.32,1751.58,2928.28,36.4,48.7,32.0,-56.39
2026-08-29,gig_worker,3,2485.22,2671.2,1896.87,3073.57,36.2,50.4,43.7,-185.98
2026-08-30,gig_worker,3,2462.38,2240.77,1874.04,3050.73,41.4,57.2,49.6,221.62
2026-08-31,gig_worker,3,2502.81,2589.55,1914.46,3091.16,44.6,59.3,49.7,-86.74
2026-09-01,gig_worker,3,2503.33,2455.33,1914.99,3091.68,41.1,55.0,42.1,48.0
2026-09-02,gig_worker,3,2380.71,2211.5,1792.36,2969.06,25.2,32.8,39.9,169.21
2026-09-03,gig_worker,4,2537.02,2457.2,1948.67,3125.37,49.4,60.4,52.4,79.82
2026-09-04,gig_worker,4,2362.22,2611.63,1773.87,2950.57,33.8,45.0,45.4,-249.41
2026-09-05,gig_worker,4,2507.51,2324.93,1919.16,3095.86,34.1,47.9,37.1,182.58
2026-09-06,gig_worker,4,2484.67,2319.62,1896.33,3073.02,32.1,43.3,51.4,165.05
2026-09-07,gig_worker,4,2525.1,2366.34,1936.75,3113.45,40.0,54.6,46.3,158.76
2026-09-08,gig_worker,4,2525.62,2504.9,1937.28,3113.97,30.6,43.7,40.2,20.72
2026-09-09,gig_worker,4,2403.0,2291.72,1814.65,2991.34,38.7,53.1,49.1,111.27
2026-09-10,gig_worker,5,2559.31,2355.17,1970.96,3147.66,47.7,65.7,40.2,204.13
2026-09-11,gig_worker,5,2384.51,2703.35,1796.16,2972.86,27.5,36.2,53.6,-318.84
2026-08-13,freelancer,1,3659.1,3473.79,3039.7,4278.51,28.7,40.2,53.1,185.31
2026-08-14,freelancer,1,3513.07,3453.89,2893.66,4132.48,19.2,29.8,47.0,59.18
2026-08-15,freelancer,1,3630.19,3870.28,3010.78,4249.59,35.8,50.7,44.1,-240.1
2026-08-16,freelancer,1,3634.61,3491.12,3015.21,4254.02,25.3,37.1,52.3,143.49
2026-08-17,freelancer,1,3637.62,3726.08,3018.22,4257.03,22.1,28.6,42.2,-88.46
2026-08-18,freelancer,1,3649.38,3718.93,3029.98,4268.79,20.8,28.3,56.3,-69.55
2026-08-19,freelancer,1,3517.61,3539.35,2898.2,4137.01,24.0,34.2,41.0,-21.74
2026-08-20,freelancer,2,3657.09,3357.42,3037.69,4276.5,18.3,24.6,45.5,299.67
2026-08-21,freelancer,2,3511.06,3315.94,2891.65,4130.46,28.5,40.0,52.2,195.12
2026-08-22,freelancer,2,3628.18,3451.34,3008.77,4247.58,27.5,39.5,49.3,176.84
2026-08-23,freelancer,2,3632.6,3598.22,3013.2,4252.01,22.2,35.0,44.0,34.38
2026-08-24,freelancer,2,3635.61,3662.57,3016.21,4255.02,26.3,36.1,56.4,-26.96
2026-08-25,freelancer,2,3647.37,3633.12,3027.97,4266.78,33.3,47.3,43.9,14.25
2026-08-26,freelancer,2,3515.6,3460.48,2896.19,4135.0,31.7,42.9,49.7,55.12
2026-08-27,freelancer,3,3655.08,3627.49,3035.68,4274.49,25.6,37.4,47.1,27.59
2026-08-28,freelancer,3,3509.05,3540.17,2889.64,4128.45,31.7,45.5,57.5,-31.12
2026-08-29,freelancer,3,3626.16,3371.87,3006.76,4245.57,35.4,49.0,54.8,254.3
2026-08-30,freelancer,3,3630.59,3689.35,3011.19,4250.0,36.0,47.4,35.6,-58.76
2026-08-31,freelancer,3,3633.6,3860.11,3014.19,4253.01,28.4,38.8,47.8,-226.51
2026-09-01,freelancer,3,3645.36,3715.32,3025.96,4264.77,16.7,25.6,31.7,-69.96
2026-09-02,freelancer,3,3513.59,3609.29,2894.18,4132.99,28.0,38.6,49.3,-95.71
2026-09-03,freelancer,4,3653.07,3782.7,3033.67,4272.48,34.4,50.4,39.2,-129.63
2026-09-04,freelancer,4,3507.04,3347.71,2887.63,4126.44,19.7,26.8,50.0,159.33
2026-09-05,freelancer,4,3624.15,3530.74,3004.75,4243.56,35.9,49.0,51.6,93.41
2026-09-06,freelancer,4,3628.58,3829.74,3009.18,4247.99,46.0,60.3,41.8,-201.16
2026-09-07,freelancer,4,3631.59,3447.96,3012.18,4250.99,26.7,37.0,43.3,183.63
2026-09-08,freelancer,4,3643.35,3718.17,3023.95,4262.76,33.3,46.0,46.7,-74.82
2026-09-09,freelancer,4,3511.58,3530.53,2892.17,4130.98,19.7,32.1,39.4,-18.96
2026-09-10,freelancer,5,3651.06,3569.97,3031.66,4270.47,31.7,42.6,44.6,81.09
2026-09-11,freelancer,5,3505.03,3220.43,2885.62,4124.43,21.2,30.0,36.8,284.6
2026-08-13,young_professional,1,3236.28,2979.44,2622.23,3850.34,12.5,18.0,48.0,256.85
2026-08-14,young_professional,1,3109.42,2965.74,2495.36,3723.47,15.7,21.2,55.9,143.68
2026-08-15,young_professional,1,3250.03,3197.12,2635.97,3864.08,14.3,19.2,40.7,52.91
2026-08-16,young_professional,1,3256.85,3053.78,2642.79,3870.9,12.6,21.5,53.1,203.06
2026-08-17,young_professional,1,3273.96,3317.36,2659.91,3888.02,21.0,30.1,53.0,-43.4
2026-08-18,young_professional,1,3225.94,3466.16,2611.88,3839.99,14.5,19.7,61.6,-240.22
2026-08-19,young_professional,1,3101.56,3213.28,2487.5,3715.61,14.2,24.0,52.5,-111.72
2026-08-20,young_professional,2,3300.6,3242.04,2686.55,3914.66,20.1,28.8,58.6,58.56
2026-08-21,young_professional,2,3173.74,3204.06,2559.68,3787.79,17.3,27.9,56.5,-30.32
2026-08-22,young_professional,2,3314.35,3536.76,2700.29,3928.4,24.4,34.0,52.0,-222.42
2026-08-23,young_professional,2,3321.16,3221.61,2707.11,3935.22,23.2,32.4,68.5,99.56
2026-08-24,young_professional,2,3338.28,3415.61,2724.23,3952.34,20.5,29.1,54.0,-77.33
2026-08-25,young_professional,2,3290.26,3110.15,2676.2,3904.31,16.3,28.0,57.4,180.1
2026-08-26,young_professional,2,3165.88,3016.43,2551.82,3779.93,11.8,15.5,58.7,149.45
2026-08-27,young_professional,3,3364.92,3320.16,2750.87,3978.97,18.5,27.4,55.9,44.76
2026-08-28,young_professional,3,3238.06,3301.44,2624.0,3852.11,22.4,34.6,56.6,-63.39
2026-08-29,young_professional,3,3378.66,3592.11,2764.61,3992.72,26.3,39.1,58.6,-213.45
2026-08-30,young_professional,3,3385.48,3541.52,2771.43,3999.54,16.8,22.1,58.7,-156.03
2026-08-31,young_professional,3,3402.6,3238.42,2788.55,4016.65,20.4,34.4,50.2,164.18
2026-09-01,young_professional,3,3354.58,3461.37,2740.52,3968.63,33.0,44.4,58.2,-106.79
2026-09-02,young_professional,3,3230.2,3419.45,2616.14,3844.25,15.7,22.0,55.7,-189.25
2026-09-03,young_professional,4,3429.24,3494.11,2815.19,4043.29,24.8,37.7,58.0,-64.87
2026-09-04,young_professional,4,3302.37,3431.66,2688.32,3916.43,22.0,33.6,69.6,-129.29
2026-09-05,young_professional,4,3442.98,3741.43,2828.93,4057.04,15.6,27.8,48.6,-298.45
2026-09-06,young_professional,4,3449.8,3399.46,2835.75,4063.86,14.5,19.7,57.9,50.35
2026-09-07,young_professional,4,3466.92,3184.84,2852.87,4080.97,25.1,33.4,51.5,282.08
2026-09-08,young_professional,4,3418.89,3301.22,2804.84,4032.95,22.6,32.3,55.5,117.68
2026-09-09,young_professional,4,3294.52,3332.79,2680.46,3908.57,34.7,46.0,57.3,-38.27
2026-09-10,young_professional,5,3493.56,3811.6,2879.5,4107.61,35.0,46.7,56.1,-318.04
2026-09-11,young_professional,5,3366.69,3168.74,2752.64,3980.75,13.8,19.1,56.7,197.95
2026-08-13,near_retiree,1,15590.42,15901.12,14963.35,16217.48,9.6,13.8,70.1,-310.71
2026-08-14,near_retiree,1,15410.07,15410.23,14783.0,16037.13,12.4,19.7,75.2,-0.16
2026-08-15,near_retiree,1,15486.02,15558.93,14858.96,16113.09,7.5,7.7,71.6,-72.9
2026-08-16,near_retiree,1,15573.77,15638.4,14946.71,16200.84,0.0,3.9,74.9,-64.62
2026-08-17,near_retiree,1,15506.99,15354.17,14879.93,16134.06,0.0,2.4,67.4,152.83
2026-08-18,near_retiree,1,15461.35,15450.99,14834.28,16088.41,0.1,3.2,80.0,10.36
2026-08-19,near_retiree,1,15389.15,15613.54,14762.08,16016.21,0.0,3.1,76.9,-224.39
2026-08-20,near_retiree,2,15620.59,15622.57,14993.53,16247.66,0.0,2.8,74.3,-1.98
2026-08-21,near_retiree,2,15440.25,15464.12,14813.18,16067.31,10.4,12.0,75.9,-23.87
2026-08-22,near_retiree,2,15516.2,15673.08,14889.14,16143.27,13.8,26.8,67.1,-156.88
2026-08-23,near_retiree,2,15603.95,15637.25,14976.88,16231.02,3.3,7.5,74.1,-33.3
2026-08-24,near_retiree,2,15537.17,15825.82,14910.11,16164.24,7.5,10.9,78.7,-288.64
2026-08-25,near_retiree,2,15491.53,15606.83,14864.46,16118.59,21.6,31.8,75.7,-115.31
2026-08-26,near_retiree,2,15419.33,15544.24,14792.26,16046.39,0.3,2.3,71.7,-124.92
2026-08-27,near_retiree,3,15650.77,15681.85,15023.71,16277.84,15.7,24.5,75.9,-31.08
2026-08-28,near_retiree,3,15470.42,15364.63,14843.36,16097.49,9.7,15.5,69.3,105.79
2026-08-29,near_retiree,3,15546.38,15302.87,14919.31,16173.45,18.1,28.9,64.8,243.51
2026-08-30,near_retiree,3,15634.13,15601.87,15007.06,16261.19,24.7,38.4,76.6,32.25
2026-08-31,near_retiree,3,15567.35,15498.61,14940.28,16194.42,1.2,2.6,67.9,68.74
2026-09-01,near_retiree,3,15521.7,15395.65,14894.64,16148.77,7.5,10.3,68.6,126.05
2026-09-02,near_retiree,3,15449.5,15566.9,14822.44,16076.57,4.9,7.8,70.5,-117.4
2026-09-03,near_retiree,4,15680.95,15804.55,15053.88,16308.01,12.2,19.4,69.5,-123.6
2026-09-04,near_retiree,4,15500.6,15579.52,14873.53,16127.67,2.7,8.0,70.7,-78.92
2026-09-05,near_retiree,4,15576.56,15486.7,14949.49,16203.62,12.4,18.9,71.8,89.86
2026-09-06,near_retiree,4,15664.3,15596.61,15037.24,16291.37,10.7,18.6,71.0,67.69
2026-09-07,near_retiree,4,15597.53,15662.75,14970.46,16224.59,10.6,20.0,77.0,-65.22
2026-09-08,near_retiree,4,15551.88,15823.24,14924.81,16178.95,19.5,28.0,72.4,-271.36
2026-09-09,near_retiree,4,15479.68,15329.31,14852.61,16106.75,26.6,37.1,69.1,150.37
2026-09-10,near_retiree,5,15711.13,15718.51,15084.06,16338.19,14.2,22.3,76.3,-7.38
2026-09-11,near_retiree,5,15530.78,15413.93,14903.71,16157.84,15.8,26.7,76.3,116.85
2026-08-13,sme_seasonal,1,4602.22,4235.7,3965.61,5238.84,21.9,34.0,49.6,366.53
2026-08-14,sme_seasonal,1,4452.32,4252.82,3815.7,5088.93,22.6,31.0,62.1,199.5
2026-08-15,sme_seasonal,1,4621.98,4372.89,3985.36,5258.59,18.5,29.1,58.2,249.09
2026-08-16,sme_seasonal,1,4642.28,4365.83,4005.66,5278.9,28.6,40.3,63.2,276.45
2026-08-17,sme_seasonal,1,4580.92,4562.11,3944.3,5217.54,19.4,26.4,42.3,18.81
2026-08-18,sme_seasonal,1,4627.71,4788.36,3991.09,5264.33,24.3,35.4,48.5,-160.65
2026-08-19,sme_seasonal,1,4479.59,4360.91,3842.97,5116.21,21.4,28.4,52.4,118.68
2026-08-20,sme_seasonal,2,4614.62,4706.98,3978.01,5251.24,19.8,30.6,53.2,-92.36
2026-08-21,sme_seasonal,2,4464.72,4382.65,3828.1,5101.33,29.1,41.4,42.7,82.06
2026-08-22,sme_seasonal,2,4634.38,4577.35,3997.76,5270.99,10.7,18.3,49.4,57.03
2026-08-23,sme_seasonal,2,4654.68,4463.41,4018.06,5291.3,24.5,34.4,41.0,191.27
2026-08-24,sme_seasonal,2,4593.32,4734.29,3956.7,5229.94,23.1,35.4,49.7,-140.97
2026-08-25,sme_seasonal,2,4640.11,4447.26,4003.49,5276.73,24.2,34.0,46.3,192.85
2026-08-26,sme_seasonal,2,4491.99,4709.89,3855.37,5128.61,22.0,32.2,50.0,-217.9
2026-08-27,sme_seasonal,3,4627.02,4807.25,3990.41,5263.64,22.7,35.3,45.1,-180.22
2026-08-28,sme_seasonal,3,4477.12,4737.57,3840.5,5113.73,24.7,34.6,41.1,-260.45
2026-08-29,sme_seasonal,3,4646.78,4549.09,4010.16,5283.39,36.0,48.7,54.5,97.69
2026-08-30,sme_seasonal,3,4667.08,4695.43,4030.46,5303.7,41.4,56.3,41.1,-28.35
2026-08-31,sme_seasonal,3,4605.72,4521.34,3969.1,5242.33,24.2,31.8,45.2,84.38
2026-09-01,sme_seasonal,3,4652.51,4816.29,4015.89,5289.13,18.4,23.8,52.1,-163.78
2026-09-02,sme_seasonal,3,4504.39,4495.35,3867.77,5141.0,27.9,39.4,53.3,9.04
2026-09-03,sme_seasonal,4,4639.42,4487.51,4002.81,5276.04,26.8,32.8,47.6,151.91
2026-09-04,sme_seasonal,4,4489.52,4124.13,3852.9,5126.13,34.4,46.6,48.8,365.39
2026-09-05,sme_seasonal,4,4659.18,4781.7,4022.56,5295.79,28.2,38.7,46.1,-122.52
2026-09-06,sme_seasonal,4,4679.48,4893.18,4042.86,5316.09,16.3,24.4,50.8,-213.7
2026-09-07,sme_seasonal,4,4618.12,4468.51,3981.5,5254.73,25.8,35.4,56.4,149.61
2026-09-08,sme_seasonal,4,4664.91,4553.5,4028.29,5301.53,27.6,37.3,44.7,111.41
2026-09-09,sme_seasonal,4,4516.79,4570.31,3880.17,5153.4,20.1,27.3,45.3,-53.53
2026-09-10,sme_seasonal,5,4651.82,4426.57,4015.21,5288.44,17.6,25.5,46.2,225.25
2026-09-11,sme_seasonal,5,4501.92,4414.44,3865.3,5138.53,30.2,46.1,50.7,87.48
2026-08-13,sme_distressed,1,1505.05,1551.8,881.48,2128.62,58.8,82.4,41.3,-46.75
2026-08-14,sme_distressed,1,1349.46,1428.3,725.89,1973.03,46.9,65.5,29.4,-78.84
2026-08-15,sme_distressed,1,1495.26,1411.81,871.69,2118.83,50.0,70.0,19.6,83.45
2026-08-16,sme_distressed,1,1514.44,1185.72,890.87,2138.01,44.5,61.5,30.6,328.73
2026-08-17,sme_distressed,1,1533.5,1424.23,909.93,2157.07,46.1,65.2,29.3,109.27
2026-08-18,sme_distressed,1,1503.28,1435.14,879.71,2126.85,48.6,63.4,19.6,68.15
2026-08-19,sme_distressed,1,1352.91,1333.16,729.34,1976.48,52.8,67.0,26.3,19.75
2026-08-20,sme_distressed,2,1522.08,1548.59,898.51,2145.65,50.1,66.6,26.6,-26.51
2026-08-21,sme_distressed,2,1366.49,1469.77,742.92,1990.06,46.4,63.2,31.9,-103.28
2026-08-22,sme_distressed,2,1512.29,1451.23,888.72,2135.86,55.1,74.2,32.9,61.06
2026-08-23,sme_distressed,2,1531.47,1680.02,907.9,2155.04,56.0,75.2,26.3,-148.55
2026-08-24,sme_distressed,2,1550.53,1561.51,926.96,2174.1,43.4,60.6,26.3,-10.98
2026-08-25,sme_distressed,2,1520.31,1468.9,896.74,2143.88,61.7,81.0,31.8,51.41
2026-08-26,sme_distressed,2,1369.94,1096.75,746.37,1993.51,48.8,66.7,32.3,273.19
2026-08-27,sme_distressed,3,1539.11,1760.39,915.53,2162.68,53.7,71.2,22.1,-221.29
2026-08-28,sme_distressed,3,1383.52,1445.17,759.95,2007.09,53.7,74.2,30.0,-61.66
2026-08-29,sme_distressed,3,1529.32,1371.38,905.75,2152.89,57.2,78.0,35.3,157.94
2026-08-30,sme_distressed,3,1548.5,1585.62,924.93,2172.07,58.5,75.0,32.3,-37.12
2026-08-31,sme_distressed,3,1567.56,1636.54,943.99,2191.13,59.5,81.7,26.6,-68.98
2026-09-01,sme_distressed,3,1537.34,1468.5,913.77,2160.91,56.3,78.8,34.9,68.84
2026-09-02,sme_distressed,3,1386.97,1215.41,763.4,2010.54,54.0,73.6,27.5,171.56
2026-09-03,sme_distressed,4,1556.13,1893.34,932.56,2179.71,64.3,86.7,25.9,-337.21
2026-09-04,sme_distressed,4,1400.55,1146.93,776.98,2024.12,59.1,74.2,32.9,253.62
2026-09-05,sme_distressed,4,1546.35,1460.54,922.78,2169.92,61.7,81.3,21.5,85.81
2026-09-06,sme_distressed,4,1565.53,1535.14,941.96,2189.1,44.6,58.8,21.5,30.39
2026-09-07,sme_distressed,4,1584.59,1333.5,961.02,2208.16,64.0,83.6,21.1,251.08
2026-09-08,sme_distressed,4,1554.37,1667.91,930.8,2177.94,48.7,65.0,27.7,-113.54
2026-09-09,sme_distressed,4,1404.0,1362.04,780.43,2027.57,45.1,60.1,20.4,41.96
2026-09-10,sme_distressed,5,1573.16,1681.64,949.59,2196.73,52.4,71.8,28.9,-108.48
2026-09-11,sme_distressed,5,1417.58,1387.65,794.01,2041.15,68.0,88.1,32.0,29.92
