customer_id,segment,forecast_fhs_day14,forecast_fhs_day30,fhs_trend,overdraft_days,min_forecast_balance,n_anomalies
NW000073,stable_salaried,68.7,74.3,0.6,0,6701.18,0
NW000074,sme_seasonal,52.6,47.4,-7.9,0,6137.3,0
NW000075,near_retiree,77.0,68.4,-6.8,0,16136.73,0
NW000076,near_retiree,61.6,51.0,-10.8,0,14890.85,0
NW000077,near_retiree,61.5,63.1,-3.4,0,5657.12,0
NW000078,stable_salaried,76.0,76.6,-5.9,0,9674.13,3
NW000079,gig_worker,22.0,24.7,0.9,0,1519.95,0
NW000080,stable_salaried,79.1,83.7,3.2,0,8128.21,0
NW000081,sme_seasonal,43.5,33.5,-3.8,0,4779.42,0
NW000082,young_professional,56.1,48.5,-8.4,0,1603.59,0
NW000083,stretched_salaried,46.0,49.4,-2.9,0,2379.86,0
NW000084,stable_salaried,56.6,53.9,-8.2,0,9377.1,0
NW000085,stretched_salaried,45.4,55.8,2.9,0,2596.03,0
NW000086,stretched_salaried,37.5,35.6,-1.3,0,657.61,0
NW000087,near_retiree,88.8,78.1,-11.0,0,19890.43,0
NW000088,young_professional,48.9,38.2,-12.4,0,1986.25,0
NW000089,sme_seasonal,34.5,46.3,3.1,0,2574.7,0
NW000090,freelancer,43.2,33.2,-15.9,0,2720.36,0
NW000091,stable_salaried,61.4,70.3,-1.1,0,8907.96,0
NW000092,near_retiree,70.6,69.1,-5.6,0,15629.36,0
NW000093,near_retiree,78.1,82.1,-4.3,0,12894.05,0
NW000094,freelancer,30.0,23.0,-12.8,0,3043.1,1
NW000095,near_retiree,72.8,74.2,-7.6,0,13858.03,0
NW000096,freelancer,51.7,40.5,-12.0,0,5809.44,1
NW000097,freelancer,44.0,43.7,1.3,0,6332.56,0
NW000098,gig_worker,23.3,16.8,-8.9,0,1741.49,0
NW000099,stable_salaried,76.0,69.1,-8.0,0,8315.51,0
NW000100,stable_salaried,72.2,76.8,-3.2,0,5431.7,0
NW000101,stable_salaried,66.6,56.5,-7.2,0,9744.33,0
NW000102,young_professional,78.1,79.1,-0.1,0,3733.4,0
NW000103,stretched_salaried,45.5,48.0,-2.2,0,2861.43,0
NW000104,freelancer,20.9,25.1,0.6,0,3170.12,0
NW000105,sme_distressed,11.8,8.5,-2.3,0,2090.46,0
NW000106,stretched_salaried,46.5,45.8,-2.6,0,2175.65,0
NW000107,gig_worker,47.0,32.5,-12.0,0,2535.72,0
NW000108,near_retiree,49.2,41.7,-9.5,0,17419.08,0
NW000109,stretched_salaried,37.8,28.9,-8.2,0,649.38,0
NW000110,stable_salaried,75.9,75.8,-3.0,0,8647.24,0
NW000111,stretched_salaried,36.8,24.8,-13.8,0,937.1,0
NW000112,stable_salaried,81.9,74.1,-11.1,0,9315.99,0
NW000113,sme_distressed,10.1,8.5,-3.2,0,2139.82,0
NW000114,sme_seasonal,53.1,45.6,-7.3,0,6651.22,1
NW000115,young_professional,38.2,44.8,7.6,0,2274.95,0
NW000116,sme_seasonal,13.1,11.3,-7.1,0,4103.42,0
NW000117,sme_seasonal,57.1,57.9,-6.8,5,509.45,0
NW000118,stable_salaried,70.5,71.9,-0.4,0,9653.82,0
NW000119,sme_seasonal,30.9,33.6,2.2,0,8126.2,0
NW000120,freelancer,36.0,28.4,-14.5,0,4306.74,0
NW000121,sme_seasonal,28.2,21.1,-10.2,0,5858.97,0
NW000122,sme_seasonal,48.1,52.5,6.0,0,4525.58,0
NW000123,stretched_salaried,24.3,37.3,6.9,0,1008.24,0
NW000124,stable_salaried,74.2,76.8,2.6,0,7389.62,0
NW000125,stretched_salaried,41.0,31.3,-11.9,0,851.76,0
NW000126,gig_worker,11.5,0.0,-12.0,0,1243.77,1
NW000127,sme_seasonal,31.6,15.7,-17.5,0,2387.19,0
NW000128,sme_seasonal,37.3,26.4,-8.2,0,2842.49,0
NW000129,stable_salaried,69.0,66.2,-5.7,0,7293.88,0
NW000130,freelancer,59.6,64.3,-3.7,0,2709.08,0
NW000131,gig_worker,35.8,38.5,-2.2,0,3247.26,1
NW000132,stretched_salaried,51.5,46.3,-3.4,0,1719.84,0
NW000133,stable_salaried,80.9,64.0,-17.5,0,10215.39,0
NW000134,stretched_salaried,28.9,18.0,-14.2,0,1242.53,0
NW000135,sme_distressed,30.7,10.5,-20.4,0,2631.72,0
NW000136,stretched_salaried,22.8,25.3,1.0,30,-279.57,0
NW000137,freelancer,64.5,61.7,-9.3,30,-173.68,0
NW000138,near_retiree,66.7,63.7,-10.2,0,14660.46,0
NW000139,gig_worker,44.8,49.5,4.2,0,3395.97,0
NW000140,sme_distressed,26.4,31.8,-3.9,0,2148.72,0
NW000141,sme_distressed,23.5,24.6,-1.4,0,1265.86,0
NW000142,stretched_salaried,35.1,23.2,-9.7,0,1459.73,0
NW000143,freelancer,72.1,57.9,-12.8,20,163.0,0
NW000144,stretched_salaried,33.4,39.9,2.6,0,776.56,0
NW000145,stretched_salaried,42.9,35.8,-6.5,0,939.74,0
NW000146,stable_salaried,79.1,74.0,-10.5,0,7600.14,0
NW000147,young_professional,44.0,45.7,-5.4,0,3234.15,0
NW000148,freelancer,21.7,22.0,-6.1,0,2181.35,0
NW000149,stable_salaried,67.9,68.4,-1.5,0,8351.2,0
NW000150,stretched_salaried,31.5,29.2,-7.0,0,1998.34,0
NW000151,sme_distressed,19.5,23.5,-2.4,0,691.81,0
NW000152,stretched_salaried,29.4,21.1,-11.0,0,2585.94,0
NW000153,stable_salaried,75.1,63.5,-10.2,0,8518.42,0
NW000154,freelancer,48.8,50.7,-1.7,0,3227.84,0
NW000155,sme_distressed,18.7,13.7,-3.8,0,701.79,0
NW000156,stretched_salaried,46.6,51.6,2.6,0,2785.39,0
NW000157,young_professional,54.2,60.8,0.5,0,1483.34,0
NW000158,near_retiree,78.7,72.4,-5.8,0,10633.76,0
NW000159,stretched_salaried,17.0,0.0,-21.4,30,-181.11,1
NW000160,near_retiree,59.6,51.9,-8.5,0,17166.17,0
NW000161,gig_worker,42.9,36.7,-13.2,0,2663.48,0
NW000162,young_professional,32.8,25.0,-14.0,0,3677.15,0
NW000163,young_professional,61.0,72.3,3.7,0,929.71,0
NW000164,freelancer,27.0,31.7,-4.2,0,3457.74,0
NW000165,stable_salaried,59.6,51.7,-10.9,0,6128.97,0
NW000166,sme_seasonal,35.0,34.0,-7.0,0,2468.47,1
NW000167,stretched_salaried,41.5,32.4,-5.8,0,1039.47,0
NW000168,stable_salaried,68.9,62.5,-8.5,0,8187.69,0
NW000169,stable_salaried,53.3,53.2,-8.1,0,7529.89,0
NW000170,young_professional,52.1,50.0,-8.1,0,2214.94,0
NW000171,young_professional,53.2,38.9,-9.9,0,2464.92,0
NW000172,stable_salaried,80.1,82.0,2.6,0,8836.23,1
NW000173,freelancer,18.6,33.9,9.3,0,4960.48,0
NW000174,stretched_salaried,19.3,16.4,-5.8,0,3380.7,0
NW000175,young_professional,43.0,39.4,-1.3,0,2722.8,0
NW000176,stable_salaried,79.7,75.8,-3.1,0,10374.1,0
NW000177,young_professional,42.9,41.2,-6.8,0,3432.76,0
NW000178,gig_worker,47.6,54.2,4.6,0,2411.05,0
NW000179,sme_distressed,11.8,0.0,-12.5,0,1429.07,0
NW000180,stable_salaried,81.0,79.3,0.1,0,9133.59,0
NW000181,stretched_salaried,49.2,32.2,-9.9,0,2093.15,0
NW000182,stable_salaried,71.5,76.4,2.9,0,7178.28,0
NW000183,sme_distressed,10.3,3.2,-10.8,28,203.04,1
NW000184,sme_seasonal,51.4,45.0,-9.9,30,-1041.79,0
NW000185,stretched_salaried,33.8,32.2,-3.9,0,2035.5,2
NW000186,young_professional,55.9,46.9,-12.7,0,3238.58,0
NW000187,sme_seasonal,22.9,22.2,-5.8,0,2709.88,0
NW000188,freelancer,52.2,49.6,-8.0,3,212.93,1
NW000189,freelancer,57.4,51.4,-4.2,0,1715.84,0
NW000190,stretched_salaried,37.1,31.0,-8.6,0,737.39,0
NW000191,stable_salaried,85.3,80.2,-9.5,0,8083.31,0
NW000192,sme_seasonal,14.1,19.5,1.6,0,1857.06,0
NW000193,sme_distressed,40.3,36.3,-5.0,0,659.37,0
NW000194,young_professional,47.4,50.7,0.2,0,2750.34,0
NW000195,stretched_salaried,35.7,26.3,-6.8,0,3851.51,0
NW000196,stretched_salaried,39.6,33.1,-6.0,7,451.01,0
NW000197,near_retiree,75.1,68.2,-7.0,0,16394.16,0
NW000198,sme_seasonal,69.6,62.4,-6.2,0,8787.65,0
NW000199,sme_seasonal,27.2,18.6,-11.3,30,-639.19,0
NW000200,near_retiree,70.2,59.3,-9.7,0,19429.19,0
NW000201,young_professional,45.6,40.6,-5.4,0,2828.42,0
NW000202,stable_salaried,68.3,66.0,-4.3,0,6268.66,0
NW000203,stable_salaried,69.6,63.8,-3.4,0,7026.12,0
NW000204,sme_seasonal,52.2,60.0,5.1,0,2736.99,0
NW000205,young_professional,73.5,71.6,-2.7,0,3274.76,0
NW000206,stable_salaried,70.9,51.1,-15.3,0,6576.13,0
NW000207,stable_salaried,61.9,67.4,1.9,0,7346.22,0
NW000208,young_professional,64.9,63.0,-2.1,0,1592.47,0
NW000209,stable_salaried,75.9,61.2,-16.7,0,8631.22,0
NW000210,stable_salaried,70.4,74.4,-1.3,0,8790.24,0
NW000211,freelancer,56.8,37.1,-19.5,0,2428.85,0
NW000212,young_professional,48.4,43.7,-12.1,0,1888.27,0
NW000213,young_professional,45.7,42.1,-7.7,0,2370.82,0
NW000214,stretched_salaried,48.3,42.3,-9.3,0,3266.02,0
NW000215,near_retiree,48.9,54.9,-1.3,0,13292.27,0
NW000216,stretched_salaried,25.7,20.6,-7.4,0,2176.3,0
NW000217,stretched_salaried,48.0,41.5,-3.1,0,1547.79,0
NW000218,near_retiree,68.2,65.6,-4.3,0,16566.42,0
NW000219,young_professional,59.2,51.8,-3.6,0,2089.15,0
NW000220,sme_seasonal,63.7,58.2,-11.7,1,763.07,0
NW000221,young_professional,51.6,51.1,-5.3,0,2793.88,0
NW000222,freelancer,44.4,35.9,-15.2,0,6283.98,0
NW000223,stable_salaried,78.3,86.1,2.1,0,9309.01,0
NW000224,gig_worker,27.2,18.5,-9.9,0,3192.63,0
NW000225,stretched_salaried,44.3,39.1,-7.5,19,208.86,0
NW000226,stretched_salaried,34.2,35.3,2.7,0,955.08,0
NW000227,sme_distressed,23.2,24.4,-4.2,0,1741.8,0
NW000228,gig_worker,35.0,28.0,-10.2,0,3151.36,0
NW000229,sme_seasonal,48.4,49.9,-0.5,0,1675.28,0
NW000230,young_professional,28.7,23.8,-8.3,0,2935.56,0
NW000231,sme_seasonal,50.0,51.5,1.6,30,-1014.3,0
NW000232,freelancer,58.2,53.7,-1.0,0,2636.94,0
NW000233,young_professional,61.8,56.6,-0.8,0,3116.67,0
NW000234,freelancer,40.4,44.4,-5.5,0,4879.56,0
NW000235,stable_salaried,58.1,51.4,-10.3,0,7088.96,0
NW000236,near_retiree,75.1,86.4,8.4,0,12389.08,0
NW000237,stretched_salaried,29.8,29.3,-4.0,0,2368.13,0
NW000238,stable_salaried,86.3,83.0,-2.6,0,8171.38,0
NW000239,young_professional,54.3,53.8,-4.0,0,1444.06,0
NW000240,stable_salaried,66.0,74.7,2.4,0,10696.23,0
NW000241,sme_distressed,28.5,29.6,1.2,0,1350.3,0
NW000242,sme_distressed,46.0,44.0,-2.2,0,745.92,2
NW000243,sme_distressed,20.8,14.2,-9.7,0,2144.3,0
NW000244,gig_worker,65.8,74.3,4.8,9,495.58,0
NW000245,stable_salaried,70.2,80.8,2.3,0,9000.73,1
NW000246,sme_distressed,13.7,21.2,0.9,8,481.46,0
NW000247,gig_worker,56.3,59.1,1.4,0,2427.75,0
NW000248,sme_distressed,0.6,2.6,-4.6,0,2756.43,0
NW000249,sme_distressed,14.4,11.3,-6.8,30,-15.48,0
NW000250,sme_seasonal,31.2,39.6,0.3,0,3519.55,0
NW000251,stretched_salaried,38.4,48.2,0.1,0,2531.94,1
NW000252,gig_worker,38.4,37.4,-1.0,0,2011.6,0
NW000253,sme_seasonal,50.8,54.4,-1.7,0,1801.09,0
NW000254,stretched_salaried,42.7,41.5,0.3,0,1864.18,0
NW000255,stable_salaried,60.2,61.7,-5.5,0,8817.41,0
NW000256,freelancer,39.8,46.4,-1.6,0,4997.36,0
NW000257,sme_distressed,2.6,2.6,-5.9,0,1571.72,0
NW000258,young_professional,57.2,58.6,-2.3,0,2996.66,0
NW000259,young_professional,53.2,63.1,3.3,0,2457.9,0
NW000260,stable_salaried,63.3,69.5,2.0,0,6671.97,0
NW000261,young_professional,46.6,51.1,-1.4,0,3448.54,0
NW000262,sme_distressed,25.9,21.3,-3.7,30,77.08,0
NW000263,stable_salaried,74.8,76.6,-2.1,0,7373.15,0
NW000264,freelancer,31.7,38.6,2.4,0,5115.74,0
NW000265,sme_seasonal,64.2,68.4,8.2,0,6751.68,0
NW000266,near_retiree,43.5,41.0,-7.5,0,6501.35,0
NW000267,young_professional,53.2,52.3,-1.6,0,1232.26,0
NW000268,near_retiree,66.9,57.1,-11.3,0,19382.05,0
NW000269,gig_worker,36.7,37.0,-0.4,0,3689.05,1
NW000270,stretched_salaried,20.6,18.9,-8.8,29,150.38,0
NW000271,sme_seasonal,24.4,30.3,4.8,0,3870.42,0
NW000272,sme_seasonal,33.5,20.2,-17.4,0,3671.93,0
NW000273,sme_seasonal,42.6,33.3,-14.1,0,3349.87,0
NW000274,sme_distressed,21.6,21.8,-4.5,6,534.49,0
NW000275,freelancer,59.3,58.2,-6.3,0,3785.66,0
NW000276,freelancer,14.9,14.4,1.7,0,1949.37,1
NW000277,sme_seasonal,42.9,43.3,-4.0,0,4593.08,0
NW000278,young_professional,54.0,66.5,6.8,0,2641.5,0
NW000279,near_retiree,58.8,58.5,-9.3,0,20992.73,0
NW000280,sme_seasonal,29.4,34.6,1.3,0,4989.03,0
NW000281,sme_seasonal,36.9,40.6,-3.8,0,4782.1,0
NW000282,stretched_salaried,58.3,60.0,0.9,0,884.14,0
NW000283,gig_worker,38.6,33.0,-3.9,28,7.3,0
NW000284,stable_salaried,84.4,69.0,-16.3,0,7770.66,0
NW000285,young_professional,53.3,60.6,3.4,0,2941.71,0
NW000286,stable_salaried,73.1,81.5,6.3,0,6746.01,0
NW000287,gig_worker,50.8,44.5,-5.9,0,2844.94,1
NW000288,freelancer,31.1,30.1,-6.4,0,5144.82,0
NW000289,stretched_salaried,29.1,28.3,-8.0,0,1510.01,0
NW000290,young_professional,49.7,39.9,-8.5,0,1564.99,0
NW000291,stable_salaried,73.6,76.3,-2.9,0,7823.91,1
NW000292,stable_salaried,66.7,51.7,-13.4,0,11085.65,0
NW000293,sme_seasonal,67.1,76.6,2.8,0,3549.4,0
NW000294,gig_worker,63.9,49.9,-17.4,2,474.12,0
NW000295,stable_salaried,55.7,63.2,2.2,0,8443.55,0
NW000296,freelancer,52.4,49.3,-1.5,0,6125.4,0
NW000297,near_retiree,58.7,60.7,-1.7,0,18019.39,0
NW000298,stretched_salaried,67.8,62.5,-4.6,0,1795.25,0
NW000299,young_professional,71.9,68.1,-7.3,0,2575.79,0
NW000300,stable_salaried,71.1,67.8,1.2,0,9182.0,0
NW000301,stable_salaried,76.8,76.2,0.7,0,8307.05,0
NW000302,freelancer,37.4,40.3,-6.2,0,4951.27,0
NW000303,freelancer,46.1,46.2,-4.3,0,2532.49,0
NW000304,young_professional,53.0,49.8,-5.4,0,5734.26,0
NW000305,near_retiree,89.9,82.5,-8.5,0,11456.11,0
NW000306,sme_distressed,26.4,26.4,-0.7,0,2220.27,0
NW000307,freelancer,58.1,51.1,-5.2,30,-587.19,0
NW000308,stretched_salaried,18.6,32.9,7.6,0,1591.67,0
NW000309,sme_seasonal,56.2,61.3,1.2,0,5194.62,0
NW000310,stretched_salaried,34.6,24.7,-10.7,0,3155.58,1
NW000311,gig_worker,47.1,45.8,-7.1,0,958.83,1
NW000312,stable_salaried,81.8,79.9,-0.8,0,9024.16,0
NW000313,stable_salaried,71.2,73.3,-6.3,0,8715.14,0
NW000314,sme_distressed,20.3,14.2,-7.6,0,815.94,0
NW000315,sme_seasonal,63.0,54.4,-8.2,0,5448.53,1
NW000316,young_professional,41.1,48.5,4.9,0,1956.35,0
NW000317,gig_worker,59.0,61.3,-0.3,8,361.97,0
NW000318,stable_salaried,67.4,72.7,-7.6,0,8595.64,0
NW000319,stable_salaried,89.0,77.7,-10.2,0,9656.04,1
NW000320,stretched_salaried,51.3,58.5,5.9,0,1203.71,0
NW000321,freelancer,59.7,48.8,-13.6,30,-914.85,0
NW000322,near_retiree,72.6,60.0,-11.8,0,15137.33,0
NW000323,young_professional,19.6,27.7,3.4,0,4583.75,0
NW000324,stretched_salaried,34.7,29.0,-8.0,0,1378.14,1
NW000325,sme_distressed,31.9,25.4,-8.7,0,1612.71,0
NW000326,near_retiree,65.4,46.3,-21.5,0,17113.22,0
NW000327,freelancer,59.7,49.6,-11.3,0,2157.3,0
NW000328,young_professional,38.6,32.7,-9.8,0,1629.88,0
NW000329,gig_worker,47.3,47.3,-8.4,0,1181.42,0
NW000330,stretched_salaried,20.5,15.2,-5.7,0,2146.42,1
NW000331,gig_worker,44.1,43.2,-8.7,18,277.39,1
NW000332,near_retiree,81.4,84.1,-2.7,0,13355.07,0
NW000333,stable_salaried,73.2,76.6,-4.5,0,10167.13,0
NW000334,stable_salaried,82.1,61.7,-15.5,0,7864.86,0
NW000335,stable_salaried,65.7,64.8,-7.4,0,9415.43,0
NW000336,stable_salaried,70.5,72.4,-8.9,0,8164.33,0
NW000337,sme_seasonal,63.9,64.1,-4.5,0,3766.02,0
NW000338,near_retiree,77.2,74.1,-2.6,0,12892.77,0
NW000339,freelancer,65.9,58.4,-5.4,0,3380.2,0
NW000340,stable_salaried,80.2,81.2,-3.5,0,8803.6,0
NW000341,freelancer,12.6,7.5,-3.7,0,3469.53,0
NW000342,freelancer,42.0,43.3,-2.9,6,457.62,0
NW000343,stable_salaried,73.9,81.7,2.8,0,8237.33,0
NW000344,gig_worker,53.2,42.6,-8.6,0,2080.08,0
NW000345,gig_worker,39.1,28.4,-12.8,0,2780.14,0
NW000346,young_professional,37.1,39.5,-2.3,0,3589.63,0
NW000347,young_professional,54.0,57.0,-3.3,0,2064.2,0
NW000348,stable_salaried,73.1,75.5,-3.1,0,8610.23,0
NW000349,gig_worker,20.5,22.8,-2.5,0,1218.55,0
NW000350,young_professional,41.3,35.9,-4.2,0,2023.98,0
NW000351,freelancer,41.7,34.1,-6.7,0,2356.96,0
NW000352,sme_seasonal,33.7,38.2,-2.3,0,3814.52,0
NW000353,young_professional,51.4,48.2,-9.9,0,3115.47,0
NW000354,stable_salaried,69.6,77.1,4.0,0,8185.33,0
NW000355,stable_salaried,90.0,80.2,-7.1,0,8590.48,0
NW000356,young_professional,50.1,48.0,-3.8,0,1998.79,0
NW000357,stable_salaried,61.5,78.6,7.3,0,8127.38,0
NW000358,young_professional,52.8,44.5,-13.8,0,3036.94,0
NW000359,sme_distressed,13.4,3.8,-11.4,0,1502.47,0
NW000360,young_professional,37.1,33.3,-7.4,0,1721.84,0
NW000361,gig_worker,22.7,11.7,-10.9,0,1985.65,0
NW000362,young_professional,45.0,54.5,4.3,0,3377.92,0
NW000363,gig_worker,51.5,47.7,-1.5,0,1728.87,0
NW000364,freelancer,65.1,62.4,-3.9,0,3192.33,0
NW000365,sme_distressed,21.9,13.6,-5.0,0,1542.88,0
NW000366,gig_worker,41.1,40.1,-7.8,0,2122.09,0
NW000367,sme_distressed,4.9,13.3,-0.4,0,1584.41,0
NW000368,sme_distressed,24.3,14.5,-12.7,0,1820.75,0
NW000369,stable_salaried,58.8,55.7,-6.1,0,9393.84,0
NW000370,stable_salaried,66.8,73.0,-0.7,0,8868.25,0
NW000371,stable_salaried,61.0,60.7,-2.9,0,7791.65,0
NW000372,stable_salaried,66.6,58.3,-9.8,0,9328.17,0
NW000373,stable_salaried,82.1,86.6,1.8,0,9840.24,0
NW000374,young_professional,49.6,41.6,-8.6,0,1628.65,0
NW000375,stable_salaried,73.5,68.5,-7.3,0,8849.24,0
NW000376,stretched_salaried,33.1,33.1,-4.0,0,3248.94,0
NW000377,sme_seasonal,30.8,30.3,-0.2,8,121.12,0
NW000378,stable_salaried,69.9,72.7,-1.2,0,7674.84,0
NW000379,sme_seasonal,42.7,35.6,-5.6,0,1245.35,0
NW000380,stretched_salaried,34.4,41.9,2.0,0,1309.95,0
NW000381,stable_salaried,74.0,74.3,0.7,0,8662.48,0
NW000382,young_professional,53.6,53.1,-7.3,0,3630.79,0
NW000383,young_professional,57.0,34.5,-23.9,0,1902.46,0
NW000384,sme_seasonal,48.3,50.9,2.6,0,8483.6,0
NW000385,near_retiree,77.8,68.8,-10.9,0,19271.9,0
NW000386,sme_seasonal,32.0,29.0,-4.1,0,4784.48,1
NW000387,stretched_salaried,43.1,49.7,-0.2,0,3270.01,0
NW000388,stable_salaried,80.9,74.4,-3.7,0,8394.55,0
NW000389,near_retiree,63.3,56.6,-11.9,0,10404.17,0
NW000390,sme_seasonal,63.8,52.7,-9.6,0,3678.1,0
NW000391,sme_distressed,29.8,29.7,-0.4,0,1465.25,0
NW000392,gig_worker,23.3,29.5,7.0,0,1544.61,0
NW000393,gig_worker,54.2,49.4,-8.6,30,-505.24,0
NW000394,near_retiree,83.8,82.8,-3.7,0,13293.33,0
NW000395,stretched_salaried,37.3,33.5,-6.5,0,1109.92,1
NW000396,sme_distressed,22.6,16.5,-5.8,0,1701.2,1
NW000397,sme_seasonal,33.0,24.3,-10.5,0,2166.77,0
NW000398,gig_worker,50.4,45.9,-5.0,0,2757.45,0
NW000399,near_retiree,59.8,59.5,-6.6,0,12426.08,0
NW000400,near_retiree,53.9,52.0,-7.7,0,21639.12,0
NW000401,stable_salaried,73.3,70.6,-8.7,0,7923.26,0
NW000402,sme_distressed,36.4,29.2,-11.2,28,218.26,0
NW000403,freelancer,57.3,67.4,-1.7,0,5323.49,0
NW000404,sme_seasonal,55.5,53.9,-6.4,0,5312.19,0
NW000405,stretched_salaried,23.5,20.0,-8.8,2,601.92,2
NW000406,sme_seasonal,55.9,58.1,-0.9,0,3985.57,0
NW000407,gig_worker,38.2,37.2,-4.3,0,2390.36,1
NW000408,stable_salaried,70.4,72.6,-4.8,0,8230.84,0
NW000409,sme_distressed,0.0,2.5,-3.2,30,-68.06,0
NW000410,stable_salaried,74.8,75.3,-4.3,0,8796.37,0
NW000411,stretched_salaried,35.6,33.3,-6.8,0,1777.18,0
NW000412,sme_distressed,34.9,23.3,-5.2,4,503.49,1
NW000413,sme_distressed,27.6,27.2,-0.9,0,1969.38,0
NW000414,young_professional,48.0,52.3,-1.2,0,4994.13,0
NW000415,young_professional,73.3,63.7,-4.3,0,3376.05,0
NW000416,gig_worker,42.4,52.8,5.3,0,1934.78,0
